"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA63256","nonHR",10.967472076416,-1.2155134677887,0.442785143852234,0.334616005420685,-2.4995391368866,0.635786056518555,-1.69537007808685,0.0426153019070625
"DA63258","nonHR",10.7503175735474,-1.40187120437622,0.518164992332458,0.348170310258865,-2.52436113357544,0.126358687877655,-1.41377127170563,0.268670320510864
"DA63260","nonHR",-11.203803062439,1.28025460243225,-3.26714420318604,-3.34243750572205,2.85990476608276,-0.890555799007416,-0.552585124969482,2.76861834526062
"DA63262","nonHR",7.70608234405518,-0.894051790237427,0.132342323660851,-0.184668228030205,-1.69648873806,-0.566063642501831,-0.217715427279472,-0.125530198216438
"DA63264","HR",6.27714014053345,-0.634292900562286,-0.117761172354221,-0.30097970366478,-1.56943619251251,-0.616557598114014,0.320365339517593,-0.0217902753502131
"DA63266","HR",10.4649047851562,-1.90620100498199,0.733907401561737,-0.130053654313087,-1.73201930522919,-0.160296007990837,-0.515382051467896,-0.349418193101883
"DA63268","nonHR",10.241605758667,-1.40667521953583,0.588653028011322,0.352854907512665,-1.98137927055359,0.685094475746155,-1.48442602157593,-0.507878422737122
"DA63270","nonHR",9.83472537994385,-1.54643213748932,0.401370644569397,0.00302331172861159,-2.02251029014587,0.315542131662369,-0.75572669506073,-0.244085446000099
"DA63272","nonHR",10.3333072662354,-2.39376187324524,1.04908871650696,0.290017038583755,-1.22093570232391,0.78974986076355,-1.76683664321899,-1.03610515594482
"DA63274","nonHR",5.90394639968872,-0.633997082710266,0.136321231722832,-0.180301249027252,-0.88195663690567,-0.52219694852829,-0.151022478938103,-0.745440185070038
"DA63276","nonHR",10.7724800109863,-1.31053030490875,0.402344703674316,0.42296028137207,-2.53579115867615,0.498075872659683,-1.55468785762787,0.203883618116379
"DA63278","nonHR",-16.9018230438232,-2.18214249610901,-1.90866899490356,1.73864638805389,4.23928499221802,-1.1735508441925,0.0252017918974161,1.96048128604889
"DA63282","nonHR",-17.2840175628662,-2.68352842330933,-1.38158166408539,1.5017569065094,4.09712696075439,-0.640462577342987,-0.0970053821802139,2.98418688774109
"DA63284","nonHR",-11.228874206543,1.18242335319519,-3.30603551864624,-2.90860152244568,2.60227084159851,-0.932575702667236,-0.428611516952515,2.5483820438385
"DA63286","nonHR",-17.2048988342285,-2.56635928153992,-1.86125886440277,1.18201446533203,3.98978471755981,-0.941254079341888,-0.205628573894501,2.86899399757385
"DA63288","nonHR",-11.0532150268555,1.18138873577118,-3.45098495483398,-3.2194402217865,2.80528235435486,-1.00385272502899,-0.20010182261467,2.87761998176575
"DA63290","nonHR",10.6040382385254,-1.24421370029449,0.462285369634628,0.329077750444412,-1.94977700710297,0.300278633832932,-1.55303084850311,-0.581063032150269
"DA63292","nonHR",9.03529071807861,-1.64535009860992,0.368253290653229,-0.0757081657648087,-1.46114253997803,0.411534160375595,-0.717880249023438,-0.547290623188019
"DA63294","nonHR",10.7217359542847,-1.45276582241058,0.554836690425873,0.247708961367607,-2.50636696815491,0.0280617009848356,-1.32489514350891,0.253163069486618
"DA63296","nonHR",10.0430574417114,-2.12198543548584,0.722191214561462,0.532717049121857,-0.947325885295868,-0.312777251005173,-1.63883888721466,-1.15917897224426
