"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA63750","nonHR",12.9958200454712,3.13705658912659,-1.98081314563751,"COR"
"DA63752","HR",12.5169563293457,-3.93434548377991,-3.81890273094177,"COR"
"DA63756","nonHR",13.0410461425781,-5.67912292480469,-4.05862760543823,"COR"
"DA63758","nonHR",-9.05993270874023,-0.969230651855469,6.37038707733154,"COR"
"DA63760","nonHR",-7.06436729431152,-1.10366535186768,5.5451602935791,"COR"
"DA63762","nonHR",-8.90017223358154,-2.76283001899719,5.75648069381714,"COR"
"DA63764","nonHR",13.9536571502686,-4.68375158309937,-4.04375696182251,"COR"
"DA63770","nonHR",-7.08671140670776,-2.99532890319824,5.20656585693359,"COR"
"DA63772","HR",13.929030418396,-5.17051935195923,-4.51880264282227,"COR"
"DA63774","nonHR",13.6334791183472,-4.99772262573242,-3.75580406188965,"COR"
"DA63776","HR",-1.50596785545349,8.949782371521,-9.50759983062744,"COR"
"DA63778","nonHR",-7.39150476455688,-3.07670712471008,4.81991863250732,"COR"
"DA63780","HR",13.2902545928955,3.03307223320007,-1.09490859508514,"COR"
"DA63782","nonHR",-9.60689163208008,-1.0697318315506,6.54833889007568,"COR"
"DA63784","HR",-1.26049625873566,10.0276365280151,-8.67782783508301,"COR"
"DA63786","nonHR",-6.85870838165283,-2.13745784759521,5.6763744354248,"COR"
"DA63790","HR",-5.74901294708252,-1.57321047782898,0.999687790870667,"COR"
"DA63792","nonHR",12.6209897994995,-4.75512456893921,-4.12957143783569,"COR"
"DA63796","nonHR",-9.19580459594727,-2.2688455581665,5.96608924865723,"COR"
"DA63798","nonHR",13.1759386062622,2.85426998138428,-2.33433723449707,"COR"
